PROCESSID,PROCESSNAME,STATUS,STARTTIME
1401,gdm-x-session,sleeping,1668052293.38
1403,Xorg,sleeping,1668052293.41
1420,gnome-session-binary,sleeping,1668052294.58
1447,gvfsd,sleeping,1668052296.0
1452,gvfsd-fuse,sleeping,1668052296.03
1454,at-spi-bus-launcher,sleeping,1668052296.1
1467,dbus-daemon,sleeping,1668052296.13
1481,gnome-session-ctl,sleeping,1668052296.66
1483,gnome-session-binary,sleeping,1668052296.7
1498,gnome-shell,sleeping,1668052297.1
1534,gnome-shell-calendar-server,sleeping,1668052300.27
1535,xdg-permission-store,sleeping,1668052300.31
1541,pulseaudio,sleeping,1668052300.56
1550,evolution-source-registry,sleeping,1668052300.71
1552,dconf-service,sleeping,1668052300.85
1553,gvfs-udisks2-volume-monitor,sleeping,1668052300.92
1561,udisksd,sleeping,1668052301.13
1571,goa-daemon,sleeping,1668052301.34
1577,evolution-calendar-factory,sleeping,1668052302.83
1586,gvfs-goa-volume-monitor,sleeping,1668052303.48
1589,gsettings-helper,sleeping,1668052304.11
1601,goa-identity-service,sleeping,1668052304.4
1602,krfcommd,sleeping,1668052304.45
1610,gvfs-mtp-volume-monitor,sleeping,1668052304.59
1614,gvfs-afc-volume-monitor,sleeping,1668052304.66
1619,gvfs-gphoto2-volume-monitor,sleeping,1668052304.78
1628,evolution-addressbook-factory,sleeping,1668052304.9
1649,gjs,sleeping,1668052306.46
1651,at-spi2-registryd,sleeping,1668052306.47
1667,ibus-daemon,sleeping,1668052306.61
1668,gsd-a11y-settings,sleeping,1668052306.61
1670,gsd-color,sleeping,1668052306.61
1672,gsd-datetime,sleeping,1668052306.62
1674,gsd-housekeeping,sleeping,1668052306.62
1677,gsd-keyboard,sleeping,1668052306.63
1679,gsd-media-keys,sleeping,1668052306.64
1684,gsd-power,sleeping,1668052306.64
1687,gsd-print-notifications,sleeping,1668052306.65
1691,gsd-rfkill,sleeping,1668052306.68
1692,gsd-screensaver-proxy,sleeping,1668052306.69
1693,gsd-sharing,sleeping,1668052306.69
1696,gsd-smartcard,sleeping,1668052306.7
1702,gsd-sound,sleeping,1668052306.72
1705,gsd-usb-protection,sleeping,1668052306.73
1709,gsd-wacom,sleeping,1668052306.74
1711,gsd-xsettings,sleeping,1668052306.75
1743,gsd-printer,sleeping,1668052306.93
1753,ibus-dconf,sleeping,1668052306.99
